Porject: Wuhan data: data8 Epoch: 3,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
lstm,0.86705,0.57397,0.86595,0.52538,0.53739,0.28534
mem,0.87114,0.58841,0.89167,0.48445,0.53522,0.26998
g,0.86852,0.57738,0.87704,0.45833,0.53392,0.27573
mem_g,0.86944,0.58694,0.89392,0.4982,0.54755,0.28245
g_gcn,0.86731,0.58186,0.90253,0.49376,0.5354,0.27458
mem_g_gcn,0.8781,0.61677,0.89605,0.49476,0.5629,0.28683
