Porject: hazel data: data3 Epoch: 6,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn1,0.77254,0.0996,0.8139,0.04293,0.05764,0.03512
cnn2,0.78516,0.18377,0.81622,0.07671,0.07853,0.04835
cnn3,0.77894,0.13861,0.81526,0.05615,0.07167,0.04125
lstm,0.79118,0.22908,0.81833,0.12567,0.09479,0.06042
mem,0.78135,0.16863,0.81442,0.0812,0.08649,0.0513
g,0.78277,0.1752,0.81479,0.08947,0.08633,0.0531
mem_g,0.78197,0.17234,0.81455,0.08891,0.08702,0.05353
mem_g_gcn,0.78287,0.17757,0.8161,0.09395,0.08787,0.05509
