Porject: hazel data: data3 Epoch: 5,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn1,0.77161,0.09356,0.81397,0.04004,0.05558,0.03548
cnn2,0.77759,0.13008,0.81431,0.05489,0.07144,0.04166
cnn3,0.77669,0.12407,0.81472,0.04958,0.06742,0.0407
lstm,0.77913,0.1556,0.81428,0.0792,0.08143,0.05019
mem,0.77918,0.15453,0.81568,0.08177,0.08301,0.05054
g,0.78032,0.15881,0.81532,0.0804,0.08331,0.05013
mem_g,0.77997,0.15791,0.81463,0.07708,0.08265,0.04967
mem_g_gcn,0.78073,0.1659,0.81535,0.08326,0.0868,0.05219
