Porject: titan data: data1 Epoch: 14,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn1,0.7751396657046655,0.12442878189723562,0.0747715949830289,0.8222167388167385,0.10227653457653457,0.06001497423000266
cnn2,0.7860460052910058,0.2102571035656024,0.10442095150357536,0.8259115921115923,0.16341355681355685,0.0801936792422225
cnn3,0.7860087974987979,0.2197786373246514,0.10896620004184458,0.82183367003367,0.14800775890775889,0.07525139804880028
lstm,0.9262158369408368,0.7803875457612535,0.2799979366608519,0.9317251082251082,0.732176150701151,0.25477212188730425
mem,0.9360619480519484,0.8145077874604169,0.29414804106170295,0.9395123136123137,0.7713887982387982,0.2652518691125289
mem_g,0.9337557335257333,0.807060967925348,0.2918180536145177,0.9370169312169315,0.7625030488030489,0.26315390029402896
g_gcn,0.9363344540644533,0.8146756814662357,0.29838377998746757,0.937973953823954,0.763244462019462,0.25897669541794316
mem_g_gcn,0.938331551226552,0.8212871385725057,0.2987984019740589,0.9421932178932179,0.7809996105746106,0.2699506221836562
