Porject: titan data: data1 Epoch: 6,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn1,0.76674,0.0692,0.81501,0.04165,0.05314,0.03553
cnn2,0.77143,0.1185,0.81434,0.05982,0.07004,0.04527
cnn3,0.77158,0.1289,0.81336,0.06688,0.0758,0.04698
lstm,0.81889,0.371,0.84706,0.30709,0.14785,0.11576
mem,0.82769,0.40771,0.85006,0.32669,0.15127,0.11817
g,0.82046,0.37829,0.84521,0.29716,0.14841,0.11108
mem_g,0.8235,0.39203,0.84821,0.31846,0.15424,0.12287
g_gcn,0.82425,0.39572,0.84609,0.30614,0.1581,0.11427
mem_g_gcn,0.82688,0.40699,0.84623,0.31601,0.15378,0.1216
