Porject: titan data: data1 Epoch: 13,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn1,0.7738947522847516,0.11757585594120759,0.07255783499381704,0.8217005531505531,0.0935529452029452,0.05604435663429245
cnn2,0.7840815103415104,0.1982690125185221,0.0991722184658005,0.8237102453102455,0.14566135901135904,0.0763281099241797
cnn3,0.7840258321308335,0.20834541788485747,0.10432040476382787,0.8193208994708995,0.1327431364931365,0.07030918978998346
lstm,0.9178028932178943,0.7509150975756373,0.26897030550005735,0.9233267195767196,0.6967504874754873,0.2443884026416024
mem,0.9277994348244332,0.7874303520693211,0.2823728484039771,0.9306865800865798,0.7350392662892664,0.25025401420462967
g,0.9218466907166899,0.7659293733041551,0.2785304153727674,0.9287767917267915,0.7191942788692789,0.24091087627604413
mem_g,0.9247151659451659,0.7759998681555781,0.2805722621928658,0.9284384559884563,0.7230410792910795,0.24987322208372126
g_gcn,0.9278133477633479,0.7869342770393845,0.28629336220636137,0.9289480278980278,0.7257241499241502,0.24789261678657107
mem_g_gcn,0.9291330110630106,0.791723325745231,0.2864522127313056,0.9349875661375665,0.7469178904428908,0.2614643742241773
