Porject: titan data: data1 Epoch: 18,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn2,0.79513,0.256,0.83327,0.21449,0.11931,0.09606
cnn3,0.79604,0.27239,0.8304,0.21033,0.12865,0.09567
lstm,0.95216,0.86434,0.95176,0.82337,0.31417,0.28915
mem,0.96096,0.89249,0.96013,0.86135,0.33497,0.30232
g,0.95818,0.88402,0.95806,0.84834,0.32888,0.2943
mem_g,0.95923,0.8877,0.95986,0.85486,0.32738,0.29679
g_gcn,0.96126,0.89295,0.95918,0.85465,0.33579,0.30108
mem_g_gcn,0.96262,0.89709,0.96379,0.87343,0.3352,0.30951
