Porject: titan data: data1 Epoch: 15,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn2,0.7884536171236162,0.2231600570758294,0.10813680558385837,0.8277506012506014,0.17539934232434232,0.08470974366245754
cnn3,0.7887704280904284,0.23432851064543722,0.1143490914117078,0.8219913900913901,0.1574961788211788,0.0805576862742332
lstm,0.9342651948051954,0.8072363722624547,0.29073014770145456,0.9372054834054838,0.7604374662374663,0.2577162440218046
mem_g_gcn,0.9462862674362675,0.8465103140290988,0.3080928873743016,0.9482659451659452,0.8066637242387241,0.279854151852078
