Porject: titan data: data1 Epoch: 3,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn1,0.76557,0.05447,0.81395,0.02997,0.04683,0.03194
cnn2,0.76817,0.08978,0.81441,0.04567,0.05886,0.03866
cnn3,0.76869,0.10106,0.81315,0.04843,0.06454,0.04121
lstm,0.78467,0.19852,0.8183,0.12246,0.10046,0.06162
mem,0.78866,0.21857,0.81866,0.12503,0.09874,0.06344
g,0.78569,0.20517,0.81722,0.11615,0.10154,0.06286
mem_g,0.78622,0.20789,0.8179,0.1233,0.10238,0.06402
g_gcn,0.78655,0.20922,0.81841,0.12261,0.10562,0.06441
mem_g_gcn,0.7875,0.21394,0.81871,0.12698,0.09865,0.06399
