Porject: Suzhou data: data7 Epoch: 15,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
lstm,0.84504,0.45087,0.82557,0.33135,0.39546,0.21953
mem,0.85152,0.48313,0.81909,0.35303,0.42246,0.22123
g,0.84413,0.44744,0.81664,0.33969,0.40159,0.2178
mem_g,0.84797,0.46167,0.82058,0.35621,0.40911,0.22336
g_gcn,0.84888,0.46829,0.81533,0.34012,0.41077,0.21844
mem_g_gcn,0.85091,0.46854,0.81509,0.35497,0.40575,0.21964
