Porject: hazel data: data1 Epoch: 6,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn2,0.78485,0.18182,0.81667,0.07762,0.08287,0.04861
cnn3,0.78578,0.18364,0.8152,0.07512,0.07604,0.04926
lstm,0.78904,0.21874,0.81856,0.11833,0.10084,0.05978
g,0.78805,0.21392,0.81889,0.11756,0.0983,0.05942
mem_g,0.78952,0.22226,0.81848,0.12438,0.10073,0.06064
g_gcn,0.78869,0.21703,0.81863,0.11855,0.10015,0.05967
mem_g_gcn,0.79303,0.24094,0.8187,0.12868,0.09991,0.06048
