Porject: hazel data: data1 Epoch: 3,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn1,0.77251,0.10071,0.81396,0.04569,0.06165,0.03799
cnn2,0.77806,0.13811,0.81519,0.0603,0.0686,0.04298
cnn3,0.77881,0.13689,0.81512,0.05343,0.06382,0.0431
lstm,0.77959,0.15862,0.81622,0.08296,0.08358,0.05142
mem,0.77952,0.15969,0.81663,0.08355,0.08569,0.05141
g,0.77915,0.15716,0.81541,0.08147,0.08408,0.04933
mem_g,0.77996,0.1614,0.81544,0.08438,0.0851,0.05229
g_gcn,0.77931,0.15672,0.81552,0.08074,0.08186,0.04923
mem_g_gcn,0.78158,0.17154,0.81636,0.08818,0.08219,0.05079
