Porject: fico data: data1 Epoch: 30,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
lstm,0.83901,0.41845,0.85852,0.34856,0.36257,0.25844
mem,0.83722,0.42353,0.8613,0.36236,0.37739,0.26714
g,0.83947,0.42868,0.86035,0.35963,0.37265,0.26769
mem_g,0.84657,0.4682,0.86808,0.3994,0.40054,0.27781
mem_g_gcn,0.84392,0.45924,0.86691,0.39188,0.40079,0.2771
