Porject: EastLake data: data8 Epoch: 15,Train AUC,Test AUC
cnn1,0.5027,0.20353
cnn2,0.47342,0.19086
cnn3,0.48811,0.20552
g,0.53372,0.29898
mem_g_gcn,0.53577,0.28704
lstm_t,0.59706,0.27293
mem_t,0.60819,0.28327
g_t,0.53473,0.30099
mem_g_t,0.5353,0.27373
g_gcn_t,0.53329,0.2823
mem_g_gcn_t,0.53076,0.29034
