Porject: EastLake data: data8 Epoch: 13,Train AUC,Test AUC
cnn1,0.51093,0.21264
cnn2,0.48537,0.20063
cnn3,0.48171,0.22494
mem,0.6024,0.28207
g,0.53676,0.28031
mem_g,0.5392,0.28144
g_gcn,0.52327,0.28144
mem_g_gcn,0.52933,0.28642
lstm_t,0.58975,0.27731
mem_t,0.61066,0.27486
g_t,0.53186,0.29818
mem_g_t,0.53807,0.28275
g_gcn_t,0.53315,0.28975
mem_g_gcn_t,0.53119,0.29832
