Porject: EastLake data: data8 Epoch: 12,Train AUC,Test AUC
cnn1,0.50306,0.21921
cnn2,0.48605,0.19215
cnn3,0.48633,0.20652
lstm,0.59097,0.28279
mem,0.60113,0.27585
g,0.52992,0.28122
mem_g,0.53588,0.28996
g_gcn,0.52281,0.2747
mem_g_gcn,0.52965,0.2895
lstm_t,0.57516,0.26082
mem_t,0.59291,0.27153
g_t,0.53399,0.28778
mem_g_t,0.53583,0.29274
g_gcn_t,0.53208,0.27649
mem_g_gcn_t,0.52916,0.27906
