Porject: EastLake data: data8 Epoch: 14,Train AUC,Test AUC
cnn1,0.50077,0.21053
cnn2,0.47707,0.18817
cnn3,0.48421,0.2188
g,0.5298,0.29283
g_gcn,0.53364,0.27253
mem_g_gcn,0.54069,0.29352
lstm_t,0.59582,0.27285
mem_t,0.60868,0.28038
g_t,0.53607,0.29035
mem_g_t,0.54463,0.28563
g_gcn_t,0.53386,0.28037
mem_g_gcn_t,0.53413,0.29557
