Porject: titan data: data2 Epoch: 2,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
cnn1,0.7992809692159684,0.27892524873947855,0.14280982256093636,0.8258357832565338,0.2533572297767767,0.04361207567668931
cnn2,0.8015838888888884,0.2955215245375635,0.14770005687050233,0.8300527157016369,0.2821976612441177,0.044943028169927846
cnn3,0.7977364357864363,0.2800284432106896,0.1374113738634412,0.8276129570422516,0.2683110183328209,0.04704244585491463
lstm,0.8502857816257815,0.5080363559442318,0.2505541807619782,0.8636921570937733,0.45307198419179967,0.057803596734818184
mem,0.8498167364117369,0.506645700239265,0.2653639976022335,0.8642150254986818,0.46180869393023,0.06293798158535821
