Porject: hugo data: data7 Epoch: 3,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
lstm,0.81953,0.32998,0.82305,0.30665,0.32242,0.20701
mem_g_gcn,0.8227,0.33737,0.82507,0.29877,0.32811,0.21324
