Porject: hugo data: data7 Epoch: 5,Train acuracy (with NA),Train acuracy (without NA),Test acuracy (with NA),Test acuracy (without NA),Train AUC,Test AUC
lstm,0.83067,0.37225,0.82254,0.33073,0.34901,0.21509
mem_g_gcn,0.82789,0.36961,0.82157,0.32889,0.34651,0.21595
